,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang
138,1138,33549,1299,http://data.gesis.org/claimskg/creative_work/bf711254-fc54-5265-a87f-c2824e5ae299,"This is an important announcement that schools are not going to open from September. It is postponed to November as Covid cases in the state are not yet controlled, further details will be announced",Vishvanews,English,FALSE,1,,,0.0,34,en
139,1149,17577,6229,http://data.gesis.org/claimskg/creative_work/bc5dad15-cfbb-5aa9-b09f-fdc7e602080f,Photo shows French protests against new vaccination regulations,factcheck_afp,English,FALSE,1,,,0.0,8,en
153,1301,17369,6021,http://data.gesis.org/claimskg/creative_work/8c4b6932-6487-5204-b49e-4d360a28b500,A combination of several different videos showing that the pandemic is staged,factcheck_afp,English,FALSE,1,,,0.0,12,en
158,1323,17384,6036,http://data.gesis.org/claimskg/creative_work/8682cfd0-85d1-558e-a0ca-f5b1cdd74f8c,Cannabis boosts immunity against coronavirus,factcheck_afp,English,FALSE,1,,,0.0,5,en
164,1372,17447,6099,http://data.gesis.org/claimskg/creative_work/9521eb24-7d1b-567e-b43d-6164dea38e5e,Ablution water can destroy novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,6,en
165,1389,17467,6119,http://data.gesis.org/claimskg/creative_work/de9b1b54-0b6c-5631-b1a5-ec25238887ed,Cold weather-related heart issues are cover for vaccine problems,factcheck_afp,English,FALSE,1,,,0.0,9,en
167,1405,17668,6320,http://data.gesis.org/claimskg/creative_work/a23fc868-3f3d-5e0f-8d9a-10725f420c8e,Overseas airlines considering barring vaccinated travellers,factcheck_afp,English,FALSE,1,,,0.0,6,en
174,1468,17856,6508,http://data.gesis.org/claimskg/creative_work/3d6439d6-a692-5b3e-8033-278d0af10cec,'Radioactive' vaccine stolen from German medical institute,factcheck_afp,English,FALSE,1,,,0.0,7,en
175,1470,33166,916,http://data.gesis.org/claimskg/creative_work/84f9874b-4ba2-5da5-ba5e-b3bd78046e99,WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,Vishvanews,English,FALSE,1,,,0.0,11,en
185,1562,17728,6380,http://data.gesis.org/claimskg/creative_work/38c2aecf-afd6-5664-8489-c32a59036c68,"Countries announced cancellation of quarantine, 'coronavirus' tests",factcheck_afp,English,FALSE,1,,,0.0,7,en
186,1568,17740,6392,http://data.gesis.org/claimskg/creative_work/0d7c88ee-912e-50bc-97d1-af0afcc32531,Covid patients should not shower.,factcheck_afp,English,FALSE,1,,,0.0,5,en
193,1673,17781,6433,http://data.gesis.org/claimskg/creative_work/9dd61eb5-ae98-504f-b182-35dc6acb43f1,UK government banned Covid vaccine for children age 5-11,factcheck_afp,English,FALSE,1,,,0.0,9,en
199,1697,16943,5595,http://data.gesis.org/claimskg/creative_work/7c1f8c39-aa7c-5a7f-9ff5-58743e508b84,Novavax Covid-19 vaccine contains animal DNA and is not safe,factcheck_afp,English,FALSE,1,,,0.0,10,en
200,1716,16957,5609,http://data.gesis.org/claimskg/creative_work/8133db91-d218-561d-9464-5ef9a2292770,Image of politician receiving a vaccine seven times?,factcheck_afp,English,FALSE,1,,,0.0,8,en
203,1727,16907,5559,http://data.gesis.org/claimskg/creative_work/4aa980a3-71b7-5162-8271-4ba71af2a0a3,"Covid relief plan will cost every American $5,750",factcheck_afp,English,FALSE,1,,,0.0,8,en
214,1861,16795,5447,http://data.gesis.org/claimskg/creative_work/1b5dba79-d446-5aae-ab87-72f5c80554d6,Video shows Chinese health workers protesting after zero-Covid policy eased,factcheck_afp,English,FALSE,1,,,0.0,10,en
222,1943,16823,5475,http://data.gesis.org/claimskg/creative_work/6a62f577-2772-52ad-aba9-4db5e5e8cbbc,Human body turned magnetic after taking Corona vaccine,factcheck_afp,English,FALSE,1,,,0.0,8,en
262,2261,45412,6585,http://data.gesis.org/claimskg/creative_work/3a6113eb-a745-54eb-b134-b342fd68ef4b,"You know what the biggest lie is, is that restaurants are spreaders of COVID. There's no science for that.",politifact,English,False,1,,,0.0,19,en
271,2270,45340,6513,http://data.gesis.org/claimskg/creative_work/61bfdbcb-16a7-5333-9f64-f1c1c9f8b427,6000% Increase in Reported Vaccine Deaths 1st Quarter 2021 Compared to 1st Quarter 2020,politifact,English,False,1,,,0.0,14,en
275,2274,45280,6453,http://data.gesis.org/claimskg/creative_work/eb4cbddb-6905-5d4a-b14c-977302005644,There is an epidemic of plane crashes linked to vaccine-related strokes in pilots.,politifact,English,False,1,,,0.0,13,en
285,2284,11476,128,http://data.gesis.org/claimskg/creative_work/1913f89e-e6d9-5514-bdb6-756e5560cfaf,Those who believe immunized people are still at risk do not think vaccines work.,factcheck_afp,English,FALSE,1,,,0.0,14,en
286,2285,45331,6504,http://data.gesis.org/claimskg/creative_work/c196224f-2f7b-57c8-8c98-f5cf052a40df,"COVID was so bad one year, they just forgot to give us a hurricane? What’s really going on here.",politifact,English,False,1,,,0.0,19,en
309,2308,45457,6630,http://data.gesis.org/claimskg/creative_work/ced2e012-ef8e-526d-997d-fdb4182d8fa4,Only 6% of the people actually died from COVID. The others died from other reasons.,politifact,English,False,1,,,0.0,15,en
319,2318,11397,49,http://data.gesis.org/claimskg/creative_work/f6544ef2-852d-5744-a13b-42165046afe3,Photo shows beach chairs reserved for vaccinated Israelis,factcheck_afp,English,FALSE,1,,,0.0,8,en
320,2319,45548,6721,http://data.gesis.org/claimskg/creative_work/41390527-7b76-5670-bcae-5dfbdba6e9ab,"Mercury is used in vaccines, and there is no safe level of mercury.",politifact,English,False,1,,,0.0,13,en
349,2348,44708,5881,http://data.gesis.org/claimskg/creative_work/6b6897d4-3247-56d6-b36b-d8dfa7490a85,We know in November 2021 that none of your previous vaccines will protect you now from the emerging variant omicron.,politifact,English,False,1,,,0.0,20,en
381,2381,11615,267,http://data.gesis.org/claimskg/creative_work/5df03a4a-1487-58d4-a2e4-27fd46302fe5,Inifinix giving out phones for pandemic support,factcheck_afp,English,FALSE,1,,,0.0,7,en
407,2407,46461,7634,http://data.gesis.org/claimskg/creative_work/3ffad903-1065-5eea-8908-9728e6f10077,This is a phony pandemic.,politifact,English,False,1,,,0.0,5,en
412,2412,46399,7572,http://data.gesis.org/claimskg/creative_work/466a6c30-eb4c-56e6-9e42-7558a9837549,This whole COVID thing? It’s a SIMULATION.,politifact,English,False,1,,,0.0,7,en
415,2415,46282,7455,http://data.gesis.org/claimskg/creative_work/48c0667d-aadc-5746-be9b-e8b8710ed8d5,You will be 'vaccinated' regardless of whether you receive the shot or not.,politifact,English,False,1,,,0.0,13,en
429,2429,46590,7763,http://data.gesis.org/claimskg/creative_work/d8222e7a-bd95-575c-b06f-d3ced76ec7a0,"BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law",politifact,English,False,1,,,0.0,10,en
437,2437,46831,8004,http://data.gesis.org/claimskg/creative_work/3a2612b0-de55-5fea-a6f5-fb4de0a82627,Says to leave objects in the sun to avoid contracting the coronavirus.,politifact,English,False,1,,,0.0,12,en
459,2460,46757,7930,http://data.gesis.org/claimskg/creative_work/532eedaa-f94a-556a-b63f-4508f28bc38f,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,politifact,English,False,1,,,0.0,14,en
468,2469,45910,7083,http://data.gesis.org/claimskg/creative_work/0385ed9c-5f10-5061-9b3e-99b0aed2c99f,COVID ends next Wednesday.,politifact,English,False,1,,,0.0,4,en
472,2473,45892,7065,http://data.gesis.org/claimskg/creative_work/b113acb3-3f0f-5528-adea-8a1f2a5e476a,Health and Human Services admits they have never conducted federally-required monitoring of vaccine safety for over 30 years.,politifact,English,False,1,,,0.0,18,en
492,2493,45838,7011,http://data.gesis.org/claimskg/creative_work/8f204206-22b9-5efc-9d9e-458e70e30531,COVID literally stands for Chinese Originated Viral Infectious Disease.,politifact,English,False,1,,,0.0,9,en
503,2504,46167,7340,http://data.gesis.org/claimskg/creative_work/e10db1a9-ac5f-5cf2-95e3-738eb331ce81,Video shows irate airline passenger demanding a seat away from an unvaccinated passenger and being asked to leave the airplane.,politifact,English,False,1,,,0.0,20,en
523,2525,46084,7257,http://data.gesis.org/claimskg/creative_work/725253b0-f4d7-5265-a27c-85fc3978e6a7,79.4% of babies who die of ‘SIDS’ had a vaccine the same day.,politifact,English,False,1,,,0.0,13,en
525,2527,46102,7275,http://data.gesis.org/claimskg/creative_work/2f566281-acc9-56c9-83da-08fced4f1ab9,"Says if you donate blood, they HAVE to test you for coronavirus.",politifact,English,False,1,,,0.0,12,en
530,2532,44668,5841,http://data.gesis.org/claimskg/creative_work/12d9919c-e723-5230-bc4a-b20506dd25c3,There are a multitude of vaccines that do not prevent deadly and crippling diseases.,politifact,English,False,1,,,0.0,14,en
531,2533,44657,5830,http://data.gesis.org/claimskg/creative_work/fde92434-7fcd-57de-9c64-ace0762162e3,The media pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.,politifact,English,False,1,,,0.0,26,en
533,2535,43327,4500,http://data.gesis.org/claimskg/creative_work/53bdf6a5-fb42-51e8-ae97-c5d48e9115b2,"COVID death rates 4 to 1, vaccinated to unvaxxed",politifact,English,False,1,,,0.0,9,en
534,2536,43312,4485,http://data.gesis.org/claimskg/creative_work/1896774c-674c-5f09-abf0-1792cd9e1d2f,"It is the vaccinated, NOT the unvaccinated, spreading mutant variants.",politifact,English,False,1,,,0.0,10,en
544,2546,43240,4413,http://data.gesis.org/claimskg/creative_work/e1994da2-3cfd-5080-a006-8dcc6d33ca38,Says combined doses of vaccines have never been tested.,politifact,English,False,1,,,0.0,9,en
550,2552,12401,1053,http://data.gesis.org/claimskg/creative_work/f2f3491f-f7a9-5a10-9f43-8da92379a4ea,These masks protect against the novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,7,en
554,2557,12293,945,http://data.gesis.org/claimskg/creative_work/6782e93c-04ac-5565-8192-d17ae1d25232,List of employers where Covid shot is not mandatory,factcheck_afp,English,MIXTURE,2,,,0.0,9,en
564,2569,43472,4645,http://data.gesis.org/claimskg/creative_work/6e6c30e5-0dea-5a47-a0b6-60cb3ec35c3c,Says Goodwill used the pandemic to fire all of their employees instead of laying them off.,politifact,English,False,1,,,0.0,16,en
592,2601,43433,4606,http://data.gesis.org/claimskg/creative_work/3529eb1e-a742-5038-842f-2f510f51f031,Photo shows a German mall separating the vaccinated and unvaccinated.,politifact,English,False,1,,,0.0,10,en
608,2617,12530,1182,http://data.gesis.org/claimskg/creative_work/bcbf79dc-8d28-57f6-9cb2-fd41e4f3e2b0,Video shows a robot administering vaccines,factcheck_afp,English,FALSE,1,,,0.0,6,en
634,2643,12461,1113,http://data.gesis.org/claimskg/creative_work/8183b36c-7b08-5e22-8d50-0aefa9dbe28d,Study proves vaccine maker Moderna created the coronavirus,factcheck_afp,English,FALSE,1,,,0.0,8,en
642,2651,43024,4197,http://data.gesis.org/claimskg/creative_work/1d1e815f-6f9e-554f-9762-5de942c7ab39,One of the first nurses to receive the vaccine in AL is now dead.,politifact,English,False,1,,,0.0,14,en
647,2656,42826,3999,http://data.gesis.org/claimskg/creative_work/de6f7564-134c-539b-a309-06ce24cad898,NYC man drops dead in middle of street — suspected coronavirus!,politifact,English,False,1,,,0.0,11,en
651,2660,12504,1156,http://data.gesis.org/claimskg/creative_work/0542e733-b17e-5cc5-a15c-8d1fb56cdd53,US to withhold benefits from unvaccinated veterans,factcheck_afp,English,FALSE,1,,,0.0,7,en
657,2666,42877,4050,http://data.gesis.org/claimskg/creative_work/fbc6797e-e3e8-5e94-b3df-29ec06a9b341,COVID19 PCR tests are scientifically meaningless.,politifact,English,False,1,,,0.0,6,en
667,2676,43647,4820,http://data.gesis.org/claimskg/creative_work/11ab9ce6-ac6f-57bd-a9e6-9855c965b2e9,"I would do press events in May, I would never be asked about coronavirus.''",politifact,English,False,1,,,0.0,14,en
678,2687,44288,5461,http://data.gesis.org/claimskg/creative_work/dd410496-6701-5a36-a194-bf1bec40eca9,Says coronavirus is just the damn flu.,politifact,English,False,1,,,0.0,7,en
683,2692,44275,5448,http://data.gesis.org/claimskg/creative_work/17385e75-47d8-5692-b007-66a61946d1b4,Americans not vaccinated before 2022 will be put in camps,politifact,English,False,1,,,0.0,10,en
695,2705,44243,5416,http://data.gesis.org/claimskg/creative_work/7133ba2f-e06e-539e-828e-eb084eed92c0,"Around the world, people who exercise their health autonomy and don't get vaccinated are being put basically into internment camps.",politifact,English,False,1,,,0.0,20,en
696,2706,11917,569,http://data.gesis.org/claimskg/creative_work/5cf526f9-9aaf-527d-b87b-9331ceb09889,The novel coronavirus can be spread through fruits and vegetables because it remains viable on them for 12 hours,factcheck_afp,English,FALSE,1,,,0.0,19,en
703,2713,44575,5748,http://data.gesis.org/claimskg/creative_work/07278f36-00b4-57f4-8cdd-21ea2b54efd2,920 women lose their unborn babies after getting vaccinated.,politifact,English,False,1,,,0.0,9,en
705,2715,44586,5759,http://data.gesis.org/claimskg/creative_work/5609ff41-53f6-5cd3-93ec-9745f35e15a5,Sunlight actually can kill the (novel coronavirus.),politifact,English,False,1,,,0.0,7,en
707,2717,44605,5778,http://data.gesis.org/claimskg/creative_work/df5d32a2-80d7-527a-8063-9e0dd32a3e6f,There is no added safety to the public if you're vaccinated.,politifact,English,False,1,,,0.0,11,en
723,2736,44528,5701,http://data.gesis.org/claimskg/creative_work/ea009651-34fa-5a86-b64d-f42a427df1a0,"This idea that it's the pandemic of the unvaccinated, it's just a total lie.",politifact,English,False,1,,,0.0,14,en
726,2739,44461,5634,http://data.gesis.org/claimskg/creative_work/79064cfe-fc5a-5bfc-ba4c-837fbcfdb1ba,Vaccines are why flights have been shut down worldwide.,politifact,English,False,1,,,0.0,9,en
735,2748,12112,764,http://data.gesis.org/claimskg/creative_work/0a6a9195-6713-578c-80c8-df359374373b,List of food and Australian suburbs contaminated by coronavirus,factcheck_afp,English,FALSE,1,,,0.0,9,en
736,2749,43787,4960,http://data.gesis.org/claimskg/creative_work/fb237aed-71c4-521c-a3c2-0772f4c768a2,Everyone is only dying of coronavirus now.,politifact,English,False,1,,,0.0,7,en
743,2756,43820,4993,http://data.gesis.org/claimskg/creative_work/ba7855c3-311e-58eb-9461-b49d570d3fb0,They've now killed close to twice as many kids from the vaccine as have died from COVID.,politifact,English,False,1,,,0.0,17,en
750,2763,43903,5076,http://data.gesis.org/claimskg/creative_work/d3158e65-c270-55eb-bf70-4cd14ef3537b,"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them.",politifact,English,False,1,,,0.0,16,en
771,2784,44091,5264,http://data.gesis.org/claimskg/creative_work/9fd71b11-d3ef-5ab8-a26a-b131de5c1ac9,You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.,politifact,English,False,1,,,0.0,24,en
772,2785,44096,5269,http://data.gesis.org/claimskg/creative_work/c81490f0-47b7-5ed7-b25a-b6a10a4d8b0e,"We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators due to the coronavirus.",politifact,English,False,1,,,0.0,21,en
782,2795,44143,5316,http://data.gesis.org/claimskg/creative_work/7a1280fa-f6ab-5311-9791-55e6a4a708be,The novel coronavirus was man-made.,politifact,English,False,1,,,0.0,5,en
821,2835,49834,1964,http://data.gesis.org/claimskg/creative_work/94b01ef6-d3c9-5f03-ba00-1beb67a0dc53,Nurse passes out on live TV after taking vaccine.,politifact,English,MIXTURE,2,,,0.0,9,en
852,2867,50177,2307,http://data.gesis.org/claimskg/creative_work/4f08103c-bc0b-584c-ad3f-85e51aec2824,"Cannabis may stop coronavirus from infecting people, study finds.",politifact,English,MIXTURE,2,,,0.0,9,en
878,2894,9891,3653,http://data.gesis.org/claimskg/creative_work/9626f6e2-b410-550f-89fa-1fb17465e8a8,Posts shared on Facebook and Instagram claim the Centers for Disease Control and Prevention (CDC) put out data showing seven out of 10 Americans are declining COVID-19 vaccines.,checkyourfact,English,FALSE,1,,,0.0,28,en
886,2902,49388,1518,http://data.gesis.org/claimskg/creative_work/f684a922-9133-5662-91d7-1f2c7726d178,You’re not going to get COVID if you have these vaccinations.,politifact,English,MIXTURE,2,,,0.0,11,en
912,2928,49644,1774,http://data.gesis.org/claimskg/creative_work/1d08c16b-3c0f-5fcd-9b34-44d842587d2d,There's over a trillion dollars of money unspent from previous (coronavirus) relief bills ... still sitting in a bank account.,politifact,English,MIXTURE,2,,,0.0,20,en
916,2932,49666,1796,http://data.gesis.org/claimskg/creative_work/1fc885a0-aa9b-5693-81ee-7b97c90b0f0b,There are precious few religions that actually say you cannot get vaccinated.,politifact,English,MIXTURE,2,,,0.0,12,en
965,2983,9310,3072,http://data.gesis.org/claimskg/creative_work/906637f8-33eb-53df-bafa-a805e652e1e3,"An image shared on Facebook purportedly shows an article from Canadian news outlet CTV News with a headline that reads, Ministry of Transportation considers creating unvaccinated section at rear of plane.",checkyourfact,English,FALSE,1,,,0.0,31,en
979,2997,50905,3035,http://data.gesis.org/claimskg/creative_work/0bf0b550-7420-5a92-b0c4-8380a3655c83,"The best way to avoid COVID altogether is to exercise, eat healthy and let your immune system beat it naturally.",politifact,English,MIXTURE,2,,,0.0,20,en
1005,3023,50963,3093,http://data.gesis.org/claimskg/creative_work/10d001fd-0534-5f12-a137-a1a3871be48e,"When I came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in America.",politifact,English,MIXTURE,2,,,0.0,20,en
1055,3073,50633,2763,http://data.gesis.org/claimskg/creative_work/c29bef22-dd1b-5631-b658-3b6574ca03c4,Says 80% of novel coronavirus cases are mild.,politifact,English,MIXTURE,2,,,0.0,8,en
1087,3105,47804,8977,http://data.gesis.org/claimskg/creative_work/3a547961-0c36-5513-9c95-146f4a4315b9,"Says CEOs got advance notice of COVID, then resigned to dump stock.",politifact,English,False,1,,,0.0,12,en
1156,3174,47590,8763,http://data.gesis.org/claimskg/creative_work/58d39529-dce4-5f68-9454-641d8c18bc5a,Says the coronavirus was engineered by scientists in a lab.,politifact,English,False,1,,,0.0,10,en
1157,3175,47087,8260,http://data.gesis.org/claimskg/creative_work/45823d7a-2dcd-5cde-90b4-697cd19dde34,Says no one under the age of 20 has died of the coronavirus. We still don’t know whether children can get it and transmit it to others.,politifact,English,False,1,,,0.0,27,en
1170,3189,47171,8344,http://data.gesis.org/claimskg/creative_work/4afa0e08-ab4d-5180-addd-d140413ee7a4,"Corona is so bad, this guy died twice!",politifact,English,False,1,,,0.0,8,en
1176,3195,47021,8194,http://data.gesis.org/claimskg/creative_work/8e3c3df5-fcf5-5031-8a7b-ff5f76e085c9,"People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.",politifact,English,False,1,,,0.0,34,en
1188,3207,47041,8214,http://data.gesis.org/claimskg/creative_work/560cf1fd-3f34-5b07-9e59-1eb84cfd71de,There is no science or data to suggest that kids are at risk from COVID.,politifact,English,False,1,,,0.0,15,en
1191,3210,47301,8474,http://data.gesis.org/claimskg/creative_work/eccc1e4b-3eed-5b0f-ab7c-0774a76ec497,Anybody that wants a test (for the coronavirus) can get a test.,politifact,English,False,1,,,0.0,12,en
1198,3217,47494,8667,http://data.gesis.org/claimskg/creative_work/7998000e-f74d-5ed1-b1a4-cf21c116a931,"Vaccines send the immune system into perpetual overdrive by instructing cells to keep making the protein of an invader, nonstop, forever and ever.",politifact,English,False,1,,,0.0,23,en
1208,3227,47492,8665,http://data.gesis.org/claimskg/creative_work/b9f27d84-051c-5984-9f21-8a3109837d28,"The cost of an automobile, it's kind of back to what it was before the pandemic.",politifact,English,False,1,,,0.0,16,en
1240,3259,48896,1026,http://data.gesis.org/claimskg/creative_work/f2a79843-0910-5b5d-aa1f-c11dd74c90d7,Says researchers found a fabric that kills coronaviruses,politifact,English,MIXTURE,2,,,0.0,8,en
1322,3341,48189,319,http://data.gesis.org/claimskg/creative_work/e4bdb164-3fdb-5f2c-a442-be75b2e93b5a,More cops have died from COVID this year than have been killed on patrol.,politifact,English,MIXTURE,2,,,0.0,14,en
1391,3413,14648,3300,http://data.gesis.org/claimskg/creative_work/7d579199-7aa1-5618-b284-281c965d2483,An employer posts a coronavirus warning to employees but covers up the part about 'staying home when sick',factcheck_afp,English,FALSE,1,,,0.0,18,en
1394,3416,14698,3350,http://data.gesis.org/claimskg/creative_work/9e994fb2-427c-5789-8872-1644db58a7f9,Ad links childhood strokes to vaccines,factcheck_afp,English,FALSE,1,,,0.0,6,en
1397,3419,14692,3344,http://data.gesis.org/claimskg/creative_work/19793e0e-26b7-5e79-b5ab-38fb3330d274,Vaccines contain toxic ingredients,factcheck_afp,English,FALSE,1,,,0.0,4,en
1411,3433,14580,3232,http://data.gesis.org/claimskg/creative_work/543be2d7-ea37-5ad7-bf74-11bb9346222b,"Health experts have expressed great concern for the Zombie deer virus, a virus scarier than the coronavirus that spreads among deer",factcheck_afp,English,FALSE,1,,,0.0,21,en
1441,3463,14789,3441,http://data.gesis.org/claimskg/creative_work/25ece832-0578-5062-9694-22b6e7914d03,Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits,factcheck_afp,English,FALSE,1,,,0.0,16,en
1510,3533,38633,2321,http://data.gesis.org/claimskg/creative_work/fd7afc4c-796b-5742-b272-fec5f5d15eda,"Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.",politifact,English,True,3,,,0.0,23,en
1573,3596,14255,2907,http://data.gesis.org/claimskg/creative_work/8ea94a95-71df-5e21-83c5-c58307cd9a8d,"Democrats brought back pandemic, race riots, depression, gas lines",factcheck_afp,English,FALSE,1,,,0.0,9,en
1607,3630,14534,3186,http://data.gesis.org/claimskg/creative_work/d46d535d-ab93-51bb-93b2-01eaec3b89f8,Accurate representation of total vaccinations a baby born in 2019 receives,factcheck_afp,English,FALSE,1,,,0.0,11,en
1614,3637,14467,3119,http://data.gesis.org/claimskg/creative_work/5c23a904-5dd6-5619-9fc4-d33d9aaac5b2,"Elites planned the pandemic, used PCR tests to justify lockdowns",factcheck_afp,English,FALSE,1,,,0.0,10,en
1647,3670,14417,3069,http://data.gesis.org/claimskg/creative_work/4bf4a70b-a0d4-5cd7-93c8-80784f782d71,There is a US patent for the novel coronavirus and a European one for a vaccine to prevent it,factcheck_afp,English,FALSE,1,,,0.0,19,en
1681,3705,15343,3995,http://data.gesis.org/claimskg/creative_work/29266012-1772-5208-8357-f47c404fb148,"There have been 3,005 Covid vaccine deaths since December 2020",factcheck_afp,English,MIXTURE,2,,,0.0,10,en
1709,3734,36684,372,http://data.gesis.org/claimskg/creative_work/701753e2-051c-5200-b7f4-3c38202115e3,"You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.",politifact,English,True,3,,,0.0,21,en
1713,3738,36645,333,http://data.gesis.org/claimskg/creative_work/af4d54bd-ee01-570e-9de8-a0ca3753a4a7,Says most NC legislators are in the high risk age group for coronavirus,politifact,English,True,3,,,0.0,13,en
1746,3812,15423,4075,http://data.gesis.org/claimskg/creative_work/fef2a40f-ea07-5c2e-a4da-2b77bf97c7b8,Photo shows scene during the 1918-20 influenza pandemic,factcheck_afp,English,FALSE,1,,,0.0,8,en
1769,3835,37140,828,http://data.gesis.org/claimskg/creative_work/d262196c-ccb5-50db-9450-5fb9a19f16a9,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,politifact,English,True,3,,,0.0,18,en
1790,3857,14888,3540,http://data.gesis.org/claimskg/creative_work/b67b5648-4418-5fae-ab58-de939874c49b,Video of looting during coronavirus lockdown in the UK,factcheck_afp,English,FALSE,1,,,0.0,9,en
1830,3898,15141,3793,http://data.gesis.org/claimskg/creative_work/8c27f364-1f49-5fe0-a219-4100711d9272,Thai university warned ‘we are on our own’ if coronavirus cases surge,factcheck_afp,English,FALSE,1,,,0.0,12,en
1841,3910,15186,3838,http://data.gesis.org/claimskg/creative_work/f9955185-f05e-513e-9fc8-c7d30787db4c,Non-medical masks do not prevent the transmission of coronavirus,factcheck_afp,English,FALSE,1,,,0.0,9,en
1867,3937,15046,3698,http://data.gesis.org/claimskg/creative_work/9b4b204a-7d5d-56b7-acec-280cc1c3edd0,Video shows poisonous vaccine material flowing through blood vessels,factcheck_afp,English,FALSE,1,,,0.0,9,en
1899,3972,41146,2319,http://data.gesis.org/claimskg/creative_work/abe85868-d019-5efa-95b0-574600d1b71d,We are rounding the turn (on coronavirus). We are rounding the corner.,politifact,English,False,1,,,0.0,12,en
1916,3989,41102,2275,http://data.gesis.org/claimskg/creative_work/e1f1e42c-f6f8-5bee-8361-c4a70e2ca380,Fauci just told us they found a (coronavirus) variant that ‘evades the test.’,politifact,English,False,1,,,0.0,13,en
